1001	ODESSA 2 0	115.00	-102.262348	31.906736
1002	PRESIDIO 2 0	115.00	-104.519139	29.888046
1003	O DONNELL 1 0	115.00	-101.647778	32.926389
1004	O DONNELL 1 1	230.00	-101.647778	32.926389
1005	BIG SPRING 5 0	115.00	-101.388333	32.2075
1006	BIG SPRING 5 1	13.80	-101.388333	32.2075
1007	VAN HORN 0	115.00	-104.624514	31.09348
1008	IRAAN 2 0	115.00	-102.201433	30.931467
1009	IRAAN 2 1	13.80	-102.201433	30.931467
1010	PRESIDIO 1 0	115.00	-104.3	29.6
1011	PRESIDIO 1 1	22.00	-104.3	29.6
1012	SANDERSON 0	115.00	-101.970461	30.028067
1013	MONAHANS 2 0	115.00	-103.161046	31.484586
1014	GRANDFALLS 0	115.00	-103.085134	31.169523
1015	MARFA 0	115.00	-104.005761	30.285296
1016	GARDEN CITY 0	115.00	-101.501775	31.763075
1017	ODESSA 4 0	115.00	-102.413607	31.725171
1018	NOTREES 0	115.00	-102.632933	31.799171
1019	MIDLAND 4 0	115.00	-102.132366	31.979427
1020	BIG SPRING 1 0	115.00	-101.1167	31.9925
1021	BIG SPRING 1 1	13.80	-101.1167	31.9925
1022	O DONNELL 2 0	115.00	-101.578617	32.929014
1023	O DONNELL 2 1	13.80	-101.578617	32.929014
1024	ODESSA 6 0	115.00	-102.630882	31.969312
1025	BIG SPRINGS 0	115.00	-101.22	32.039
1026	BIG SPRINGS 1	13.80	-101.22	32.039
1027	MIDLAND 2 0	115.00	-102.042298	32.321673
1028	COAHOMA 0	115.00	-101.246784	32.879511
1029	MIDLAND 3 0	115.00	-102.081464	31.992384
1030	ALPINE 0	115.00	-103.22236	29.802094
1031	FORT DAVIS 0	115.00	-103.759065	31.004969
1032	MCCAMEY 1 0	115.00	-102.2417	31.2092
1033	MCCAMEY 1 1	230.00	-102.2417	31.2092
1034	BIG SPRING 4 0	115.00	-101.302637	31.991442
1035	BIG SPRING 4 1	13.80	-101.302637	31.991442
1036	CRANE 0	115.00	-102.596253	31.186888
1037	ODESSA 5 0	115.00	-102.47409	31.799158
1038	FORT STOCKTON 1 0	115.00	-102.505808	30.772575
1039	FORT STOCKTON 1 1	22.00	-102.505808	30.772575
1040	ANDREWS 0	115.00	-102.697303	32.335729
1041	FORSAN 0	115.00	-101.3986	32.1408
1042	FORSAN 1	13.80	-101.3986	32.1408
1043	FORSAN 2	13.80	-101.3986	32.1408
1044	BIG LAKE 0	115.00	-101.172783	31.272551
1045	MIDLAND 5 0	115.00	-102.20166	32.053604
1046	OZONA 0	115.00	-101.331239	30.575618
1047	MONAHANS 1 0	115.00	-102.9633	31.5839
1048	MONAHANS 1 1	18.00	-102.9633	31.5839
1049	MONAHANS 1 2	18.00	-102.9633	31.5839
1050	MONAHANS 1 3	18.00	-102.9633	31.5839
1051	MONAHANS 1 4	18.00	-102.9633	31.5839
1052	MONAHANS 1 5	18.00	-102.9633	31.5839
1053	MONAHANS 1 6	230.00	-102.9633	31.5839
1054	STANTON 0	115.00	-101.754488	32.489818
1055	ODONNELL 0	115.00	-101.764414	32.92701
1056	LENORAH 0	115.00	-101.8367	32.2353
1057	LENORAH 1	18.00	-101.8367	32.2353
1058	IRAAN 3 0	115.00	-101.9208	30.8847
1059	IRAAN 3 1	22.00	-101.9208	30.8847
1060	IRAAN 3 2	22.00	-101.9208	30.8847
1061	BIG SPRING 6 0	115.00	-101.422436	32.273182
1062	BIG SPRING 6 1	13.80	-101.422436	32.273182
1063	BIG SPRING 6 2	13.80	-101.422436	32.273182
1064	ODESSA 3 0	115.00	-102.312423	32.001129
1065	BIG SPRING 3 0	115.00	-101.451385	32.100823
1066	BIG SPRING 3 1	13.80	-101.451385	32.100823
1067	BIG SPRING 7 0	115.00	-101.365434	32.102911
1068	MIDLAND 1 0	115.00	-101.918007	31.517628
1069	IRAAN 1 0	115.00	-102.0867	30.9178
1070	IRAAN 1 1	13.80	-102.0867	30.9178
1071	ODESSA 1 0	115.00	-102.3264	31.8403
1072	ODESSA 1 1	18.00	-102.3264	31.8403
1073	ODESSA 1 2	18.00	-102.3264	31.8403
1074	ODESSA 1 3	18.00	-102.3264	31.8403
1075	ODESSA 1 4	18.00	-102.3264	31.8403
1076	ODESSA 1 5	18.00	-102.3264	31.8403
1077	ODESSA 1 6	18.00	-102.3264	31.8403
1078	ODESSA 1 7	18.00	-102.3264	31.8403
1079	ODESSA 1 8	500.00	-102.3264	31.8403
1080	ODESSA 1 9	18.00	-102.3264	31.8403
